"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @4thAnon: You want to use the CIA? Go ahead!  I don't give a shit - Philippine President Duterte dares CIA to ‘oust’ him https://t.co/x7…",FALSE,0,NA,2016-10-08 15:34:38,FALSE,NA,"784779039269466114",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","tootsdles",12,TRUE,FALSE,NA,NA
"2","RT @ForeignPolicy: Philippine President Duterte is getting serious about ditching the U.S. https://t.co/VT6sHLdhlW https://t.co/z4n4kxU9Yi",FALSE,0,NA,2016-10-08 15:34:33,FALSE,NA,"784779021959761920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","raghavan1314",28,TRUE,FALSE,NA,NA
"3","‘Do not treat us like a doormat, you’ll be sorry for it’ – Philippines President Duterte to US   https://t.co/lbtDrnFupu",FALSE,0,NA,2016-10-08 15:34:31,FALSE,NA,"784779010140057600",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Nananose",0,FALSE,FALSE,NA,NA
"4","I'd rather have Duterte as President than be surrounded by drug addicts and corrupt govt officials. ������",FALSE,0,NA,2016-10-08 15:34:19,FALSE,NA,"784778961683222528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mayv12",0,FALSE,FALSE,NA,NA
"5","RT @XHNews: Philippine President Rodrigo #Duterte tells the U.S. not to treat the #Philippines ""like a doormat"" https://t.co/RzT96KNmNc",FALSE,0,NA,2016-10-08 15:34:16,FALSE,NA,"784778947749748736",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","coffeejellyace9",164,TRUE,FALSE,NA,NA
"6","RT @IamEthylGabison: Sis @iamboobita: Teh bakit kinucompare si President Duterte kay Hitler?

Ako: Parehas daw ayaw sa Jew Process. Charot!",FALSE,0,NA,2016-10-08 15:33:50,FALSE,NA,"784778839155015680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","franziine",158,TRUE,FALSE,NA,NA
"7","RT @wreyzza: Please read, be enlightened and share.  #ChangeHasCome #ChangeIsOnGoing #PartnersForChange #NoToBiasedJournalism https://t.co/…",FALSE,0,NA,2016-10-08 15:33:38,FALSE,NA,"784778790769610752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jelyksss",2,TRUE,FALSE,NA,NA
"8","RT @ryan_chua: Positive coverage by Chinese media of President Duterte's China-friendly foreign policy https://t.co/5F9gzxIOvl",FALSE,0,NA,2016-10-08 15:33:10,FALSE,NA,"784778672880308227",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","robertsulit",17,TRUE,FALSE,NA,NA
"9","RT @XHNews: Philippine President Rodrigo #Duterte tells the U.S. not to treat the #Philippines ""like a doormat"" https://t.co/RzT96KNmNc",FALSE,0,NA,2016-10-08 15:33:10,FALSE,NA,"784778672829968388",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","ithrusthard",164,TRUE,FALSE,NA,NA
"10","FOI request on drug war data: PNP, DILG, DoJ won’t open up: LAST JULY 23, President Rodrigo R. Duterte enacte... https://t.co/e2Tw0X0eDM",FALSE,0,NA,2016-10-08 15:33:03,FALSE,NA,"784778643318845441",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","updatesmindanao",0,FALSE,FALSE,NA,NA
"11","LOOK: @RRD_Davao lands on French newspaper's front page with the headline: 'Le président serial killer'
https://t.co/OI6JMe0Poa",FALSE,0,NA,2016-10-08 15:33:00,FALSE,NA,"784778629955944448",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Politiko_Ph",0,FALSE,FALSE,NA,NA
"12","RT @IamEthylGabison: Sis @iamboobita: Teh bakit kinucompare si President Duterte kay Hitler?

Ako: Parehas daw ayaw sa Jew Process. Charot!",FALSE,0,NA,2016-10-08 15:31:34,FALSE,NA,"784778269962797056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hectooordaniel",158,TRUE,FALSE,NA,NA
"13","‘Do not treat us like a doormat, you’ll be sorry for it’ – Philippines President Duterte to US… https://t.co/UBm0NuIQGa",FALSE,0,NA,2016-10-08 15:31:16,TRUE,NA,"784778194020806656",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","CNNManager",0,FALSE,FALSE,NA,NA
"14","‘Do not treat us like a doormat, you’ll be sorry for it’ – Philippines President Duterte to US https://t.co/gaaeYfCscs",FALSE,0,NA,2016-10-08 15:31:16,FALSE,NA,"784778193328754688",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","TruthSupport",0,FALSE,FALSE,NA,NA
"15","‘Do not treat us like a doormat, you’ll be sorry for it’ – Philippines President Duterte to US… https://t.co/0OnP6BmCaN",FALSE,0,NA,2016-10-08 15:31:15,TRUE,NA,"784778188371038208",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","_PoliticsNews_",0,FALSE,FALSE,NA,NA
"16","‘Do not treat us like a doormat, you’ll be sorry for it’ – Philippines President Duterte to US… https://t.co/VoFxvDSLiP",FALSE,0,NA,2016-10-08 15:31:13,TRUE,NA,"784778180703825921",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","TrueNewsCast",0,FALSE,FALSE,NA,NA
"17","‘Do not treat us like a doormat, you’ll be sorry for it’ – Philippines President Duterte to US… https://t.co/voQ1yFDKgn",FALSE,0,NA,2016-10-08 15:31:12,TRUE,NA,"784778176065003521",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","TheTrumpMagazin",0,FALSE,FALSE,NA,NA
"18","RT @AP: In just 100 days in office, Philippine President Duterte has stirred a hornet's nest, at home and abroad. https://t.co/dwuKeHq2Yl",FALSE,0,NA,2016-10-08 15:31:06,FALSE,NA,"784778150211223553",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KarloAlonzo13",140,TRUE,FALSE,NA,NA
"19","RT @DEFCONWS: Philippine President Duterte is getting serious about ditching the U.S. https://t.co/bx8MS9lJda",FALSE,0,NA,2016-10-08 15:30:53,FALSE,NA,"784778095488270337",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MMinevich",18,TRUE,FALSE,NA,NA
"20","who needs killer clowns when you have duterte as your president tho ☹️️",FALSE,4,NA,2016-10-08 15:30:21,FALSE,NA,"784777962784645120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prestiine",1,FALSE,FALSE,NA,NA
"21","RT @IamEthylGabison: Sis @iamboobita: Teh bakit kinucompare si President Duterte kay Hitler?

Ako: Parehas daw ayaw sa Jew Process. Charot!",FALSE,0,NA,2016-10-08 15:29:24,FALSE,NA,"784777724090916864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Satangzelkokkie",158,TRUE,FALSE,NA,NA
"22","RT @AP: In just 100 days in office, Philippine President Duterte has stirred a hornet's nest, at home and abroad. https://t.co/dwuKeHq2Yl",FALSE,0,NA,2016-10-08 15:29:13,FALSE,NA,"784777678922649600",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KrisReports",140,TRUE,FALSE,NA,NA
"23","Philippines President Rodrigo Duterte orders US forces out after 65 years - International… https://t.co/glpCc5nBvD",FALSE,0,NA,2016-10-08 15:29:04,FALSE,NA,"784777640871813120",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","DavidAsien",0,FALSE,FALSE,NA,NA
"24","RT @rapplerdotcom: What do President Duterte and the communist rebels have in common? https://t.co/vF48QZYU7f",FALSE,0,NA,2016-10-08 15:28:51,FALSE,NA,"784777586022887424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","walltowallnews",3,TRUE,FALSE,NA,NA
"25","‘Do not treat us like a doormat, you’ll be sorry for it’ – Philippines President Duterte to US https://t.co/HdhUFrAfJO",FALSE,0,NA,2016-10-08 15:28:37,FALSE,NA,"784777526136668164",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Tmak___",0,FALSE,FALSE,NA,NA
"26","‘Do not treat us like a doormat, you’ll be sorry for it’ – Philippines President Duterte to US: https://t.co/uZtnZCe7au",FALSE,0,NA,2016-10-08 15:28:31,FALSE,NA,"784777501805539373",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Ascension_Guide",0,FALSE,FALSE,NA,NA
"27","RT @rapplerdotcom: “For a Philippine president, Rodrigo Duterte has been saying very strange things.” https://t.co/gLmrsoFWq9",FALSE,0,NA,2016-10-08 15:28:30,FALSE,NA,"784777496843595776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","walltowallnews",13,TRUE,FALSE,NA,NA
"28","RT @AP: In just 100 days in office, Philippine President Duterte has stirred a hornet's nest, at home and abroad. https://t.co/dwuKeHq2Yl",FALSE,0,NA,2016-10-08 15:28:20,FALSE,NA,"784777454309310464",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","nixonapun",140,TRUE,FALSE,NA,NA
"29","RT @rapplerdotcom: A survey shows President Rodrigo Duterte's anti-illegal drugs campaign is popular among most Filipinos https://t.co/7txc…",FALSE,0,NA,2016-10-08 15:28:18,FALSE,NA,"784777445048070144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","walltowallnews",10,TRUE,FALSE,NA,NA
"30","RT @barakoPHL: All those OFW living aboard who voted for Duterte. Come back to the blood bath you wanted. Show your loyalty to your lunatic…",FALSE,0,NA,2016-10-08 15:27:48,FALSE,NA,"784777322348052480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Chip2chip2",12,TRUE,FALSE,NA,NA
"31","RT @AP: In just 100 days in office, Philippine President Duterte has stirred a hornet's nest, at home and abroad. https://t.co/dwuKeHq2Yl",FALSE,0,NA,2016-10-08 15:27:47,FALSE,NA,"784777315943321600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bulanbap",140,TRUE,FALSE,NA,NA
"32","RT @AP: In just 100 days in office, Philippine President Duterte has stirred a hornet's nest, at home and abroad. https://t.co/dwuKeHq2Yl",FALSE,0,NA,2016-10-08 15:27:35,FALSE,NA,"784777265229930496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vanessaajoven",140,TRUE,FALSE,NA,NA
"33","RT @ForeignPolicy: Philippine President Duterte is getting serious about ditching the U.S. https://t.co/VT6sHLdhlW https://t.co/z4n4kxU9Yi",FALSE,0,NA,2016-10-08 15:26:01,FALSE,NA,"784776872886431746",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VictorManibo",28,TRUE,FALSE,NA,NA
"34","Portrait of the Great Eagle Father as President
#Duterte100Days 
 https://t.co/1J8KhP37FQ #Spot.Ph",FALSE,0,NA,2016-10-08 15:25:27,FALSE,NA,"784776731282386944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","myW_myW",0,FALSE,FALSE,NA,NA
"35","‘Do not treat us like a doormat, you’ll be sorry for it’ – Philippines President Duterte to US - https://t.co/O779hBWRRL",FALSE,0,NA,2016-10-08 15:25:20,FALSE,NA,"784776698671665152",NA,"<a href=""http://americagunban.com/"" rel=""nofollow"">America Gun Ban</a>","AmericaGunBan",0,FALSE,FALSE,NA,NA
"36","RT @IamEthylGabison: Sis @iamboobita: Teh bakit kinucompare si President Duterte kay Hitler?

Ako: Parehas daw ayaw sa Jew Process. Charot!",FALSE,0,NA,2016-10-08 15:25:15,FALSE,NA,"784776678908174336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rychaaaa",158,TRUE,FALSE,NA,NA
"37","RT @AP: In just 100 days in office, Philippine President Duterte has stirred a hornet's nest, at home and abroad. https://t.co/dwuKeHq2Yl",FALSE,0,NA,2016-10-08 15:25:06,FALSE,NA,"784776642883424258",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","inquirerdotnet",140,TRUE,FALSE,NA,NA
"38","Killer Clown better get ready. President Duterte is HERE. ������������������",FALSE,0,NA,2016-10-08 15:24:50,FALSE,NA,"784776574029537280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Imsongcuan",0,FALSE,FALSE,NA,NA
"39","RT @4thAnon: You want to use the CIA? Go ahead!  I don't give a shit - Philippine President Duterte dares CIA to ‘oust’ him https://t.co/x7…",FALSE,0,NA,2016-10-08 15:24:38,FALSE,NA,"784776523937112064",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","Massimo_Masini",12,TRUE,FALSE,NA,NA
"40","RT @rapplerdotcom: Experts have questioned President Rodrigo Duterte's version of an ""independent foreign policy."" Read more: https://t.co/…",FALSE,0,NA,2016-10-08 15:23:55,FALSE,NA,"784776342000631809",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","walltowallnews",28,TRUE,FALSE,NA,NA
"41","RT @ryan_chua: Positive coverage by Chinese media of President Duterte's China-friendly foreign policy https://t.co/5F9gzxIOvl",FALSE,0,NA,2016-10-08 15:23:50,FALSE,NA,"784776323503886338",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","balderama_myra",17,TRUE,FALSE,NA,NA
"42","‘Do not treat us like a doormat, you’ll be sorry for it’ – Philippines President Duterte to US https://t.co/S5QcABFy4X",FALSE,0,NA,2016-10-08 15:23:11,FALSE,NA,"784776159795916801",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","Americas_Hope",0,FALSE,FALSE,NA,NA
"43","RT @IamEthylGabison: Sis @iamboobita: Teh bakit kinucompare si President Duterte kay Hitler?

Ako: Parehas daw ayaw sa Jew Process. Charot!",FALSE,0,NA,2016-10-08 15:22:55,FALSE,NA,"784776090472501248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cgracia0515",158,TRUE,FALSE,NA,NA
"44","RT @newsbreakph: Supreme Court said that the President is the Philippines' sole authority in external relations. #100DaysOfDuterte https://…",FALSE,0,NA,2016-10-08 15:22:50,FALSE,NA,"784776071962959873",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","walltowallnews",18,TRUE,FALSE,NA,NA
"45","RT @4thAnon: You want to use the CIA? Go ahead!  I don't give a shit - Philippine President Duterte dares CIA to ‘oust’ him https://t.co/x7…",FALSE,0,NA,2016-10-08 15:21:10,FALSE,NA,"784775652155199488",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","anon342",12,TRUE,FALSE,NA,NA
"46","""In the interest of ensuring the progress of peace negotiations, the NPA calls on GRP President Duterte to tame... https://t.co/SG15rwxASr",FALSE,0,NA,2016-10-08 15:20:35,FALSE,NA,"784775507044929536",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","iamandroid87",0,FALSE,FALSE,NA,NA
"47","Miss Universe is looking for another country to host the 2017 pageant because of President Duterte's words. :(",FALSE,0,NA,2016-10-08 15:20:26,FALSE,NA,"784775468171964417",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","areeyamonton",0,FALSE,FALSE,NA,NA
"48","RT @XHNews: Philippine President Rodrigo #Duterte tells the U.S. not to treat the #Philippines ""like a doormat"" https://t.co/RzT96KNmNc",FALSE,0,NA,2016-10-08 15:20:23,FALSE,NA,"784775453009645572",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MisGrace",164,TRUE,FALSE,NA,NA
"49","Philippines' President says he'll 'break up' with US, tells Obama 'go to hell' https://t.co/oLdcI0YGR0",FALSE,0,NA,2016-10-08 15:20:09,FALSE,NA,"784775396629721090",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","PeejayCabasis",0,FALSE,FALSE,NA,NA
"50","RT @RT_com: A collection of shocking one-liners from everyone's favorite Philippine President #Duterte! https://t.co/tzRh6dQG9F",FALSE,0,NA,2016-10-08 15:19:27,FALSE,NA,"784775219156103169",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BusinessThink25",343,TRUE,FALSE,NA,NA
"51","RT @AP: In just 100 days in office, Philippine President Duterte has stirred a hornet's nest, at home and abroad. https://t.co/dwuKeHq2Yl",FALSE,0,NA,2016-10-08 15:19:06,FALSE,NA,"784775130291417088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SinFulRedAngel",140,TRUE,FALSE,NA,NA
"52","RT @ForeignPolicy: Philippine President Duterte is getting serious about ditching the U.S. https://t.co/VT6sHLdhlW https://t.co/z4n4kxU9Yi",FALSE,0,NA,2016-10-08 15:18:53,FALSE,NA,"784775077372059648",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","TariqueKhanJave",28,TRUE,FALSE,NA,NA
"53","RT @kotawinters: Leila belittles Duterte's 100 days&lt; Ms. PressCon's job is to pay attention to her work &amp; do it well. Not begrudge the Pres…",FALSE,0,NA,2016-10-08 15:18:47,FALSE,NA,"784775052273201160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","masheils",2,TRUE,FALSE,NA,NA
"54","RT @ithrusthard: Philippines President Duterte wants to liberate the country from a ""shackling dependency"" on the United States.",FALSE,0,NA,2016-10-08 15:18:09,FALSE,NA,"784774891396435968",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","coffeejellyace9",1,TRUE,FALSE,NA,NA
"55","Philippines President Duterte wants to liberate the country from a ""shackling dependency"" on the United States.",FALSE,3,NA,2016-10-08 15:16:24,FALSE,NA,"784774452303147008",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","ithrusthard",1,FALSE,FALSE,NA,NA
"56","RT @RawStory: Philippines President Duterte dares US, EU to withdraw aid after telling Obama 'go to hell' https://t.co/YIwh9gmkGH https://t…",FALSE,0,NA,2016-10-08 15:16:09,FALSE,NA,"784774391120875521",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","AuntInAZ",23,TRUE,FALSE,NA,NA
"57","RT @Politiko_Ph: LOOK: @RRD_Davao lands on French newspaper's front page with the headline: 'Le président serial killer'
https://t.co/OI6JM…",FALSE,0,NA,2016-10-08 15:15:26,FALSE,NA,"784774209713111041",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vroncales89",6,TRUE,FALSE,NA,NA
"58","RT @IamEthylGabison: Sis @iamboobita: Teh bakit kinucompare si President Duterte kay Hitler?

Ako: Parehas daw ayaw sa Jew Process. Charot!",FALSE,0,NA,2016-10-08 15:14:47,FALSE,NA,"784774045497593856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","isabelfelixdin",158,TRUE,FALSE,NA,NA
"59","RT @gmanews: Sen. Leila de Lima agreed with President Rodrigo Duterte's self-rating on his performance during his first 100 days. https://t…",FALSE,0,NA,2016-10-08 15:14:20,FALSE,NA,"784773930447843328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","siena_19",3,TRUE,FALSE,NA,NA
"60","RT @IamEthylGabison: Sis @iamboobita: Teh bakit kinucompare si President Duterte kay Hitler?

Ako: Parehas daw ayaw sa Jew Process. Charot!",FALSE,0,NA,2016-10-08 15:13:11,FALSE,NA,"784773643494576128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","firewomyn",158,TRUE,FALSE,NA,NA
"61","Did #Duterte follow thru on #OFW promises in his 1st 100 days via #rapplerdotcom https://t.co/ehWGP3Gc7O",FALSE,0,NA,2016-10-08 15:12:16,FALSE,NA,"784773410538651650",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ianweniger",0,FALSE,FALSE,NA,NA
"62","RT @XHNews: Philippine President Rodrigo #Duterte tells the U.S. not to treat the #Philippines ""like a doormat"" https://t.co/RzT96KNmNc",FALSE,0,NA,2016-10-08 15:11:57,FALSE,NA,"784773333816664064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DrMark2012",164,TRUE,FALSE,NA,NA
"63","RT @ithrusthard: ...a bit of refinement in Duterte's communication style does not need to involve a full overhaul of his persona. 

https:/…",FALSE,0,NA,2016-10-08 15:11:46,FALSE,NA,"784773284986355712",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","coffeejellyace9",1,TRUE,FALSE,NA,NA
"64","RT @RawStory: Philippine President Rodrigo Duterte dares the CIA to ‘oust’ him https://t.co/wVDrMczF5p",FALSE,0,NA,2016-10-08 15:11:43,FALSE,NA,"784773271828828161",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","AuntInAZ",3,TRUE,FALSE,NA,NA
"65","If those clowns trying to scare President Duterte, be ready to die!",FALSE,0,NA,2016-10-08 15:11:06,FALSE,NA,"784773116941574144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","marcparcooo",0,FALSE,FALSE,NA,NA
"66","RT @IamEthylGabison: Sis @iamboobita: Teh bakit kinucompare si President Duterte kay Hitler?

Ako: Parehas daw ayaw sa Jew Process. Charot!",FALSE,0,NA,2016-10-08 15:09:56,FALSE,NA,"784772824758005760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paulineebriega",158,TRUE,FALSE,NA,NA
"67","RT @inquirerdotnet: President Duterte on Senator Leila De Lima: I do not want to pay attention to her because she is ugly.",FALSE,0,NA,2016-10-08 15:09:52,FALSE,NA,"784772809910128644",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dejesuspatrisha",337,TRUE,FALSE,NA,NA
"68","RT @wreyzza: Please read, be enlightened and share.  #ChangeHasCome #ChangeIsOnGoing #PartnersForChange #NoToBiasedJournalism https://t.co/…",FALSE,0,NA,2016-10-08 15:09:38,FALSE,NA,"784772750506233857",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DubredoArmy",2,TRUE,FALSE,NA,NA
"69","RT @ForeignPolicy: Philippine President Duterte is getting serious about ditching the U.S. https://t.co/VT6sHLdhlW https://t.co/z4n4kxU9Yi",FALSE,0,NA,2016-10-08 15:09:09,FALSE,NA,"784772627453792259",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ChuckDalldorf",28,TRUE,FALSE,NA,NA
"70","RT @IamEthylGabison: Sis @iamboobita: Teh bakit kinucompare si President Duterte kay Hitler?

Ako: Parehas daw ayaw sa Jew Process. Charot!",FALSE,0,NA,2016-10-08 15:08:22,FALSE,NA,"784772431252557824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Looreiyin",158,TRUE,FALSE,NA,NA
"71","RT @IamEthylGabison: Sis @iamboobita: Teh bakit kinucompare si President Duterte kay Hitler?

Ako: Parehas daw ayaw sa Jew Process. Charot!",FALSE,0,NA,2016-10-08 15:08:17,FALSE,NA,"784772410620817412",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sorrynotsofia",158,TRUE,FALSE,NA,NA
"72","FOI request on drug war data: PNP, DILG, DoJ won’t open up

LAST JULY 23, President Rodrigo R. Duterte enacted Exe… https://t.co/0EUi1xysSI",FALSE,0,NA,2016-10-08 15:08:14,FALSE,NA,"784772397861920768",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","mindanews2010",0,FALSE,FALSE,NA,NA
"73","RT @4thAnon: You want to use the CIA? Go ahead!  I don't give a shit - Philippine President Duterte dares CIA to ‘oust’ him https://t.co/x7…",FALSE,0,NA,2016-10-08 15:08:09,FALSE,NA,"784772375812255744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Seahawkfan_206",12,TRUE,FALSE,NA,NA
"74","RT @AP: In just 100 days in office, Philippine President Duterte has stirred a hornet's nest, at home and abroad. https://t.co/dwuKeHq2Yl",FALSE,0,NA,2016-10-08 15:07:48,FALSE,NA,"784772288117825536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zekebezek",140,TRUE,FALSE,NA,NA
"75","RT @XHNews: Philippine President Rodrigo #Duterte tells the U.S. not to treat the #Philippines ""like a doormat"" https://t.co/RzT96KNmNc",FALSE,0,NA,2016-10-08 15:07:38,FALSE,NA,"784772245067620352",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FrankfurtFinanz",164,TRUE,FALSE,NA,NA
"76","RT @Trefor1: 76% of Filipinos are satisfied with President Duterte's performance; only 11% are unhappy with what he's doing https://t.co/LX…",FALSE,0,NA,2016-10-08 15:07:12,FALSE,NA,"784772137307430912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BenedictCo",77,TRUE,FALSE,NA,NA
"77","RT @XHNews: Philippine President Rodrigo #Duterte tells the U.S. not to treat the #Philippines ""like a doormat"" https://t.co/RzT96KNmNc",FALSE,0,NA,2016-10-08 15:06:34,FALSE,NA,"784771976556445696",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","tekhelet",164,TRUE,FALSE,NA,NA
"78","RT @mlq3: Portrait of the Great Eagle Father as President: my commentary on what makes Duterte tick  https://t.co/sSXMhZDbDs #Spot.Ph",FALSE,0,NA,2016-10-08 15:06:26,FALSE,NA,"784771944050593792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Archaeopelf",2,TRUE,FALSE,NA,NA
"79","RT @IamEthylGabison: Sis @iamboobita: Teh bakit kinucompare si President Duterte kay Hitler?

Ako: Parehas daw ayaw sa Jew Process. Charot!",FALSE,0,NA,2016-10-08 15:06:12,FALSE,NA,"784771886077009920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JagorAkime",158,TRUE,FALSE,NA,NA
"80","‘Do not treat us like a doormat, you’ll be sorry for it’ – Philippines President Duterte to US   https://t.co/FNFdheMjtZ",FALSE,0,NA,2016-10-08 15:06:11,FALSE,NA,"784771882289541121",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bushi_jp",0,FALSE,FALSE,NA,NA
"81","Philippines President Rodrigo Duterte orders US forces out after 65 years | https://t.co/YBC8SCrQUY… https://t.co/FjlUDbWXa8",FALSE,1,NA,2016-10-08 15:05:41,TRUE,NA,"784771756988833792",NA,"<a href=""http://www.duterte24x7.com"" rel=""nofollow"">Duterte24x7</a>","Duterte24x7",0,FALSE,FALSE,NA,NA
